,Year,Value,Month
62,1942,0.21,6
63,1943,0.02,6
64,1944,0.34,6
65,1945,0.14,6
66,1946,-0.1,6
67,1947,0.02,6
68,1948,-0.01,6
69,1949,-0.15,6
70,1950,-0.06,6
71,1951,0.03,6
72,1952,0.04,6
73,1953,0.13,6
74,1954,-0.12,6
75,1955,-0.07,6
76,1956,-0.15,6
77,1957,0.16,6
78,1958,0.06,6
79,1959,0.09,6
80,1960,0.08,6
81,1961,0.15,6
82,1962,0.06,6
83,1963,0.05,6
84,1964,-0.09,6
85,1965,-0.04,6
86,1966,0.06,6
87,1967,-0.03,6
88,1968,-0.02,6
89,1969,0.08,6
90,1970,0.03,6
91,1971,-0.13,6
92,1972,0.08,6
93,1973,0.2,6
94,1974,-0.04,6
95,1975,0.04,6
96,1976,-0.07,6
97,1977,0.25,6
98,1978,0.05,6
99,1979,0.22,6
100,1980,0.25,6
101,1981,0.29,6
102,1982,0.13,6
103,1983,0.27,6
104,1984,0.14,6
105,1985,0.13,6
106,1986,0.26,6
107,1987,0.31,6
108,1988,0.39,6
109,1989,0.27,6
110,1990,0.42,6
111,1991,0.48,6
112,1992,0.29,6
113,1993,0.29,6
114,1994,0.38,6
115,1995,0.47,6
116,1996,0.35,6
117,1997,0.53,6
118,1998,0.67,6
119,1999,0.42,6
120,2000,0.41,6
121,2001,0.54,6
122,2002,0.59,6
123,2003,0.54,6
124,2004,0.47,6
125,2005,0.68,6
126,2006,0.64,6
127,2007,0.54,6
128,2008,0.53,6
129,2009,0.68,6
130,2010,0.73,6
131,2011,0.65,6
132,2012,0.7,6
133,2013,0.68,6
134,2014,0.76,6
0,1880,-0.16,7
1,1881,-0.05,7
2,1882,-0.07,7
3,1883,-0.09,7
4,1884,-0.31,7
5,1885,-0.25,7
6,1886,-0.17,7
7,1887,-0.28,7
8,1888,-0.12,7
9,1889,-0.16,7
10,1890,-0.29,7
11,1891,-0.22,7
12,1892,-0.35,7
13,1893,-0.2,7
14,1894,-0.27,7
15,1895,-0.2,7
16,1896,-0.04,7
17,1897,-0.04,7
18,1898,-0.24,7
19,1899,-0.13,7
20,1900,-0.07,7
21,1901,-0.16,7
22,1902,-0.29,7
23,1903,-0.33,7
24,1904,-0.46,7
25,1905,-0.19,7
26,1906,-0.24,7
27,1907,-0.35,7
28,1908,-0.38,7
29,1909,-0.44,7
30,1910,-0.33,7
31,1911,-0.47,7
32,1912,-0.32,7
33,1913,-0.36,7
34,1914,-0.21,7
35,1915,-0.03,7
36,1916,-0.29,7
37,1917,-0.18,7
38,1918,-0.2,7
39,1919,-0.21,7
40,1920,-0.25,7
41,1921,-0.12,7
42,1922,-0.26,7
43,1923,-0.28,7
44,1924,-0.22,7
45,1925,-0.21,7
46,1926,-0.16,7
47,1927,-0.1,7
48,1928,-0.18,7
49,1929,-0.28,7
50,1930,-0.07,7
51,1931,-0.02,7
52,1932,-0.11,7
53,1933,-0.18,7
54,1934,-0.09,7
55,1935,-0.12,7
