sender	recipient	total
036640	029858	5.0
011088	033915	5.0
001188	001188	5.0
032942	027071	5.0
009748	029027	5.0
019328	015071	5.0
022144	001568	5.0
021873	016680	5.0
032827	012045	5.0
010661	031608	5.0
003071	004913	5.0
003076	038192	5.0
020453	014399	5.0
037335	023944	5.0
036372	038402	5.0
003202	033940	5.0
036372	039013	5.0
009055	030237	5.0
018936	027929	5.0
009694	020346	5.0
022100	030099	5.0
008106	004214	5.0
033459	017041	5.0
021667	033925	5.0
010435	016144	5.0
033348	015903	5.0
029511	025797	5.0
037226	037226	5.0
007606	021348	5.0
032306	038995	5.0
015335	027511	5.0
028606	006048	5.0
011140	010544	5.0
009825	011697	5.0
002903	025379	5.0
010619	028608	5.0
031457	007441	5.0
016413	020458	5.0
017453	016224	5.0
021667	012255	5.0
001859	015857	5.0
035980	035980	5.0
009776	006692	5.0
003266	031507	5.0
025290	000935	5.0
000304	033259	5.0
026804	020205	5.0
026677	011270	5.0
013025	026061	5.0
000006	031490	5.0
013041	013445	5.0
007303	035048	5.0
012317	012317	5.0
025874	033540	5.0
023435	011027	5.0
005817	007786	5.0
028141	010579	5.0
013631	008514	5.0
000123	035660	5.0
007280	033755	5.0
027076	035603	5.0
005884	005884	5.0
024162	024162	5.0
038420	000454	5.0
012563	015190	5.0
024568	020912	5.0
039180	025006	5.0
039306	025662	5.0
006048	003634	5.0
038995	032306	5.0
024708	025366	5.0
038994	026787	5.0
006768	006768	5.0
024309	015941	5.0
024281	030482	5.0
024241	005618	5.0
006027	030785	5.0
026363	006012	5.0
012720	008795	5.0
000552	039104	5.0
000677	011772	5.0
027142	020751	5.0
005452	023356	5.0
006385	024102	5.0
025771	002462	5.0
027218	035759	5.0
027218	011027	5.0
005537	023755	5.0
027458	010798	5.0
012260	000095	5.0
027458	029053	5.0
037997	025253	5.0
027461	025141	5.0
031975	012581	4.98333333333
000305	018618	4.97619047619
000243	004840	4.96666666667
026194	001196	4.95833333333
038074	029879	4.95
007293	020620	4.95
029230	015056	4.92424242424
030957	006885	4.91666666667
008572	031348	4.91666666667
003947	024162	4.91666666667
026733	022664	4.91666666667
031593	018195	4.90833333333
021194	025254	4.89285714286
024504	021930	4.83333333333
000685	019172	4.83333333333
034120	032281	4.83333333333
029152	024122	4.83333333333
013002	015157	4.83333333333
016224	016224	4.83333333333
036503	010128	4.83333333333
007371	028897	4.83333333333
029152	023521	4.83333333333
035683	000023	4.83333333333
